NU_ANO,CO_CURSO,NU_ITEM_OFG,NU_ITEM_OFG_Z,NU_ITEM_OFG_X,NU_ITEM_OFG_N,NU_ITEM_OCE,NU_ITEM_OCE_Z,NU_ITEM_OCE_X,NU_ITEM_OCE_N,DS_VT_GAB_OFG_FIN,DS_VT_GAB_OCE_FIN,DS_VT_ESC_OFG,DS_VT_ACE_OFG,DS_VT_ESC_OCE,DS_VT_ACE_OCE,TP_PRES,TP_PR_GER,TP_PR_OB_FG,TP_PR_DI_FG,TP_PR_OB_CE,TP_PR_DI_CE,TP_SFG_D1,TP_SCE_D1,NT_GER,NT_FG,NT_OBJ_FG,NT_DIS_FG,NT_FG_D1,NT_FG_D1_PT,NT_FG_D1_CT,NT_CE,NT_OBJ_CE,NT_DIS_CE,NT_CE_D1,CO_RS_I1,CO_RS_I2,CO_RS_I3,CO_RS_I4,CO_RS_I5,CO_RS_I6,CO_RS_I7,CO_RS_I8,CO_RS_I9
2023,1313394,9,0,0,0,29,0,6,0,DDBAECABE,C9E9A9CCCAEE99DCBDAD9DDDEECCC,,,,,444,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1401591,9,0,0,0,29,0,5,0,DDBAECABE,BCADECE999BAEAD9ECABECBD9ECCA,,,,,222,222.0,222.0,222.0,222.0,222.0,222.0,222.0,,,,,,,,,,,,,,,,,,,,
2023,1401591,9,0,0,0,29,0,5,0,DDBAECABE,BCADECE999BAEAD9ECABECBD9ECCA,,,,,222,222.0,222.0,222.0,222.0,222.0,222.0,222.0,,,,,,,,,,,,,,,,,,,,
2023,1279375,9,0,0,0,29,0,5,0,DDBAECABE,AB9BEBECAECC99DCDED9D9ADCEACA,,,,,222,222.0,222.0,222.0,222.0,222.0,222.0,222.0,,,,,,,,,,,,,,,,,,,,
2023,1458671,9,0,0,0,29,0,6,0,DDBAECABE,9DEADDEBC9EBD9BA9ACD9DADCCEB9,,,,,222,222.0,222.0,222.0,222.0,222.0,222.0,222.0,,,,,,,,,,,,,,,B,,,B,,
2023,1079840,9,0,0,0,29,0,6,0,DDBAECABE,9DEADDEBC9EBD9BA9ACD9DADCCEB9,,,,,222,222.0,222.0,222.0,222.0,222.0,222.0,222.0,,,,,,,,,,,,,,,,,,,,
2023,1363701,9,0,0,0,29,0,1,0,DDBAECABE,CEBECAD9AAABCCDCDDADECDBCCBEB,,,,,222,222.0,222.0,222.0,222.0,222.0,222.0,222.0,,,,,,,,,,,,,,,,,,,,
2023,1259657,9,0,0,0,29,0,6,0,DDBAECABE,D9CBD9BBDB9CCDDDAEEEBC9AEC9D9,,,,,222,222.0,222.0,222.0,222.0,222.0,222.0,222.0,,,,,,,,,,,,,,,,,,,,
2023,61285,9,0,0,0,29,0,3,0,DDBAECABE,BCE9DBDDBBCED9ABEAACAAC9ACCCD,,,,,222,222.0,222.0,222.0,222.0,222.0,222.0,222.0,,,,,,,,,,,,,,,,,,,,
2023,1363701,9,0,0,0,29,0,1,0,DDBAECABE,CEBECAD9AAABCCDCDDADECDBCCBEB,,,,,222,222.0,222.0,222.0,222.0,222.0,222.0,222.0,,,,,,,,,,,,,,,,,,,,
2023,1401595,9,0,0,0,29,0,5,0,DDBAECABE,DBDECECCADACAD9CADC9DC999BCBE,,,,,222,222.0,222.0,222.0,222.0,222.0,222.0,222.0,,,,,,,,,,,,,,,,,,,,
2023,121914,9,0,0,0,29,0,6,0,DDBAECABE,9DEADDEBC9EBD9BA9ACD9DADCCEB9,,,,,222,222.0,222.0,222.0,222.0,222.0,222.0,222.0,,,,,,,,,,,,,,,,,,,,
2023,1285859,9,0,0,0,29,0,3,0,DDBAECABE,9EC9CBDBCEABEADD9EADDEAEADEBD,,,,,222,222.0,222.0,222.0,222.0,222.0,222.0,222.0,,,,,,,,,,,,,,,,,,,,
2023,1163515,9,0,0,0,29,0,7,0,DDBAECABE,9CEB9EBACBAA9EDDEBC9CC99ABC9A,,,,,222,222.0,222.0,222.0,222.0,222.0,222.0,222.0,,,,,,,,,,,,,,,,,,,,
2023,1546732,9,0,0,0,29,0,3,0,DDBAECABE,9EC9CBDBCEABEADD9EADDEAEADEBD,,,,,222,222.0,222.0,222.0,222.0,222.0,222.0,222.0,,,,,,,,,,,,,,,,,,,,
2023,44880,9,0,0,0,29,0,5,0,DDBAECABE,AB9BEBECAECC99DCDED9D9ADCEACA,,,,,222,222.0,222.0,222.0,222.0,222.0,222.0,222.0,,,,,,,,,,,,,,,,,,,,
2023,1401591,9,0,0,0,29,0,5,0,DDBAECABE,BCADECE999BAEAD9ECABECBD9ECCA,,,,,222,222.0,222.0,222.0,222.0,222.0,222.0,222.0,,,,,,,,,,,,,,,,,,,,
2023,1401595,9,0,0,0,29,0,5,0,DDBAECABE,DBDECECCADACAD9CADC9DC999BCBE,,,,,222,222.0,222.0,222.0,222.0,222.0,222.0,222.0,,,,,,,,,,,,,,,,,,,,
2023,21351,9,0,0,0,29,0,8,0,DDBAECABE,9E9DA9C9DCCDDBAA9B9DBD9E9EEDC,,,,,222,222.0,222.0,222.0,222.0,222.0,222.0,222.0,,,,,,,,,,,,,,,,,,,,
2023,1401591,9,0,0,0,29,0,5,0,DDBAECABE,BCADECE999BAEAD9ECABECBD9ECCA,,,,,222,222.0,222.0,222.0,222.0,222.0,222.0,222.0,,,,,,,,,,,,,,,,,,,,
2023,1401591,9,0,0,0,29,0,5,0,DDBAECABE,BCADECE999BAEAD9ECABECBD9ECCA,,,,,222,222.0,222.0,222.0,222.0,222.0,222.0,222.0,,,,,,,,,,,,,,,,,,,,
2023,1401591,9,0,0,0,29,0,5,0,DDBAECABE,BCADECE999BAEAD9ECABECBD9ECCA,,,,,565,565.0,565.0,565.0,565.0,565.0,565.0,565.0,,,,,,,,,,,,,,,,,,,,
