feature,importance
categorical__CO_GRUPO_6008,5.19420607452512
categorical__CO_GRUPO_6410,4.016695648964523
categorical__CO_GRUPO_6002,3.6956555289445223
categorical__CO_GRUPO_36,3.5314445136305204
categorical__CO_GRUPO_5806,3.2862284984532435
categorical__CO_GRUPO_6208,3.2683844425648654
categorical__CO_GRUPO_21,3.254686896361022
categorical__CO_GRUPO_5902,3.1408956591570636
categorical__CO_GRUPO_6411,2.752884253060841
categorical__CO_GRUPO_5814,2.7328079595272206
categorical__CO_GRUPO_23,2.3650389249462824
categorical__CO_GRUPO_90,2.1756452073849766
categorical__CO_GRUPO_12,2.1546613986552146
categorical__CO_GRUPO_6405,2.118108230954267
categorical__CO_GRUPO_17,2.100127931218475
categorical__CO_GRUPO_5710,1.6708628128247662
categorical__CO_CATEGAD_1,1.5556925751668256
categorical__CO_GRUPO_6307,1.5253256070611485
categorical__CO_GRUPO_95,1.489291519068604
categorical__CO_GRUPO_69,1.4591996349781362
categorical__CO_GRUPO_91,1.423037792646054
categorical__CO_CATEGAD_2,1.3914123938604162
categorical__CO_GRUPO_55,1.2168910392792256
categorical__CO_CATEGAD_3,1.1827382195135547
categorical__CO_GRUPO_28,1.1796901919378948
categorical__CO_GRUPO_27,1.0541923054220883
categorical__CO_GRUPO_51,0.951221562624786
categorical__CO_UF_CURSO_21,0.9377640090922478
categorical__CO_REGIAO_CURSO_1,0.9101273845647058
categorical__CO_UF_CURSO_11,0.8953470033180196
categorical__CO_UF_CURSO_23,0.8181501662120133
categorical__CO_UF_CURSO_51,0.7928472299766665
categorical__CO_GRUPO_6,0.7844955660294842
categorical__CO_UF_CURSO_32,0.7811975522770696
categorical__CO_GRUPO_92,0.7689711169339021
numeric__PROP_QE_I08_A,0.7188894937681352
numeric__PROP_QE_I17_A,0.6943536176797405
categorical__CO_REGIAO_CURSO_4,0.6764794449503929
categorical__CO_CATEGAD_7,0.6566933414821885
categorical__CO_GRUPO_19,0.6426954384790887
categorical__CO_ORGACAD_10019,0.6202419760960245
categorical__CO_UF_CURSO_33,0.6141364462266404
categorical__CO_UF_CURSO_14,0.5984262330034049
categorical__CO_UF_CURSO_16,0.5905876562164084
numeric__PROP_QE_I10_E,0.5753751599473835
categorical__CO_CATEGAD_8,0.5288125822035937
categorical__CO_UF_CURSO_50,0.5209041187191813
categorical__CO_CATEGAD_5,0.5074041549200013
numeric__IDADE_MEDIA,0.49803664208002096
numeric__PROP_QE_I15_E,0.48347008617981974
categorical__CO_UF_CURSO_15,0.48236755632016237
categorical__CO_REGIAO_CURSO_3,0.4784192054692597
numeric__TX_RESPOSTA_AVALIACAO,0.4556454995809087
categorical__CO_UF_CURSO_43,0.4192475914759379
categorical__CO_ORGACAD_10028,0.39908412310932406
categorical__CO_UF_CURSO_29,0.38702816331246714
numeric__PROP_QE_I22_B,0.3461586861291649
categorical__CO_MODALIDADE_1,0.33519314059082594
categorical__CO_ORGACAD_10020,0.3292471561997846
categorical__CO_UF_CURSO_12,0.3240153890612645
numeric__PROP_QE_I17_B,0.3232765998096117
categorical__CO_CATEGAD_4,0.31845741068193584
categorical__CO_UF_CURSO_13,0.31019249457339143
numeric__PROP_QE_I08_B,0.3099860249821164
numeric__AVALIACAO_PROCESSO_DP,0.3059423868107581
numeric__PROP_QE_I22_A,0.29494418365483793
numeric__IDADE_Q75,0.2770069162207794
numeric__PROP_QE_I25_C,0.2628806662493157
categorical__CO_ORGACAD_10026,0.2627590436061987
categorical__CO_REGIAO_CURSO_2,0.2521050938932617
numeric__PROP_QE_I22_E,0.2515287094184969
categorical__CO_REGIAO_CURSO_5,0.23966691173571383
categorical__CO_UF_CURSO_24,0.238669580874721
numeric__PROP_QE_I26_F,0.23706247211806067
numeric__PROP_QE_I17_E,0.23703550057854053
numeric__ANOS_DESDE_INICIO_GRAD_MEDIANA,0.23576459598776944
numeric__PROP_QE_I22_C,0.23343218159453558
categorical__CO_UF_CURSO_35,0.22619296164868963
numeric__PROP_QE_I15_D,0.2249297197526689
categorical__CO_UF_CURSO_42,0.20529033342523864
categorical__CO_UF_CURSO_26,0.20045693387949987
numeric__PROP_QE_I26_B,0.19601235083476665
categorical__CO_UF_CURSO_28,0.19287303405259282
numeric__PROP_QE_I23_B,0.18221668231752905
numeric__TX_RESPOSTA_QE_I10,0.17880269308515595
numeric__PROP_QE_I08_D,0.17153424129741246
numeric__PROP_QE_I22_D,0.17003639164330261
numeric__PROP_QE_I17_D,0.16678016528535744
numeric__PROP_QE_I08_F,0.16214081407867537
numeric__PROP_QE_I25_B,0.16199217382677766
categorical__CO_UF_CURSO_17,0.1479158368306278
numeric__PROP_QE_I08_C,0.1448306921116696
categorical__CO_UF_CURSO_25,0.14313491735814104
numeric__PROP_TURNO_1,0.14158770560389114
numeric__PROP_QE_I15_A,0.13477006321511228
numeric__PROP_SEXO_M,0.13307661281470223
numeric__PROP_SEXO_F,0.13177241386473576
numeric__PROP_QE_I26_I,0.12955650915493935
numeric__N_INSCRITOS,0.1268265055468478
numeric__PROP_QE_I10_B,0.12607602735020187
numeric__PROP_QE_I10_C,0.12489434970397541
numeric__PROP_QE_I23_A,0.12155396718854992
numeric__PROP_QE_I25_D,0.11153294752785468
numeric__PROP_TURNO_4,0.10329894656646237
numeric__PROP_QE_I26_A,0.1018697809055051
numeric__PROP_QE_I26_C,0.09817824632706809
numeric__PROP_TURNO_3,0.09484309708999127
categorical__CO_ORGACAD_10022,0.0923309993809162
categorical__CO_MODALIDADE_0,0.0881924008167965
numeric__AVALIACAO_PROCESSO_MEDIA,0.0881609863741231
categorical__CO_UF_CURSO_31,0.0851651377701429
numeric__TX_RESPOSTA_QE_I08,0.08422274380740692
numeric__PROP_QE_I25_A,0.08376661163537538
numeric__TX_RESPOSTA_QE_I23,0.07784698719269728
numeric__PROP_QE_I15_C,0.07617736070363637
numeric__PROP_QE_I10_D,0.07098696047467329
numeric__PROP_QE_I15_F,0.06799622569085068
numeric__IDADE_DP,0.06702601185827271
categorical__CO_GRUPO_5,0.06188711401901137
categorical__CO_UF_CURSO_22,0.05646133161458736
categorical__CO_UF_CURSO_53,0.05380379561983908
categorical__CO_UF_CURSO_41,0.05194152004920849
numeric__PROP_QE_I15_B,0.04778866459036879
numeric__IDADE_MEDIANA,0.04754725210309479
numeric__PROP_QE_I23_C,0.04239454508916663
numeric__PROP_QE_I23_E,0.03632910421114068
numeric__TX_RESPOSTA_QE_I25,0.0356969384788413
numeric__PROP_QE_I26_H,0.035159573806380594
numeric__TX_RESPOSTA_QE_I26,0.034761792358613236
numeric__PROP_QE_I26_E,0.03086911242941187
numeric__PROP_QE_I08_E,0.029744068826447045
numeric__TX_RESPOSTA_QE_I17,0.02904261062920228
numeric__TX_RESPOSTA_QE_I15,0.028695952354226645
categorical__CO_UF_CURSO_27,0.025806548737766447
categorical__CO_UF_CURSO_52,0.021527596098069018
numeric__ANOS_DESDE_FIM_EM_MEDIANA,0.021125498790196755
numeric__PROP_QE_I10_A,0.015488164867530475
numeric__IDADE_Q25,0.008661006123216939
numeric__PROP_QE_I26_G,0.006899787011918792
numeric__PROP_QE_I25_H,0.0064480801515826615
numeric__PROP_QE_I25_E,0.005195841405941406
numeric__PROP_QE_I21_A,0.00448198492530943
numeric__PROP_QE_I21_B,0.004481984925308789
numeric__TX_RESPOSTA_QE_I22,0.004449930548564748
numeric__TX_RESPOSTA_QE_I21,0.003473345588687137
numeric__PROP_QE_I26_D,0.0010707042877605181
numeric__PROP_QE_I23_D,0.0005504240919361787
numeric__PROP_QE_I08_G,0.0
numeric__TX_ANO_FIM_EM_INVALIDO,0.0
numeric__TX_ANO_IN_GRAD_INVALIDO,0.0
numeric__PROP_TURNO_2,0.0
numeric__PROP_SEXO_9,0.0
numeric__PROP_QE_I25_G,0.0
numeric__PROP_QE_I25_F,0.0
numeric__PROP_QE_I17_F,0.0
numeric__PROP_QE_I17_C,0.0
