arquivo,linhas,colunas,bytes
microdados2023_arq1.txt,406294,10,17834657
microdados2023_arq2.txt,406294,5,10178112
microdados2023_arq3.txt,406294,44,92214519
microdados2023_arq4.txt,406294,44,37810512
microdados2023_arq5.txt,406294,3,6115208
microdados2023_arq6.txt,406294,3,6521503
microdados2023_arq7.txt,406294,3,6076641
microdados2023_arq8.txt,406294,3,6076639
microdados2023_arq9.txt,406294,3,6076633
microdados2023_arq10.txt,406294,3,6076638
microdados2023_arq11.txt,406294,3,6076639
microdados2023_arq12.txt,406294,3,6076640
microdados2023_arq13.txt,406294,3,6076640
microdados2023_arq14.txt,406294,3,6076639
microdados2023_arq15.txt,406294,3,6076638
microdados2023_arq16.txt,406294,3,6076636
microdados2023_arq17.txt,406294,3,6076638
microdados2023_arq18.txt,406294,3,6076633
microdados2023_arq19.txt,406294,3,6076634
microdados2023_arq20.txt,406294,3,6076634
microdados2023_arq21.txt,406294,3,6076635
microdados2023_arq22.txt,406294,3,6444357
microdados2023_arq23.txt,406294,3,6076634
microdados2023_arq24.txt,406294,3,6076628
microdados2023_arq25.txt,406294,3,6076634
microdados2023_arq26.txt,406294,3,6076632
microdados2023_arq27.txt,406294,3,6076631
microdados2023_arq28.txt,406294,3,6076630
microdados2023_arq29.txt,406294,3,6076632
microdados2023_arq30.txt,406294,3,6076631
microdados2023_arq31.txt,406294,3,6076631
microdados2023_arq32.txt,406294,3,6076631
