,proporcao_nulos
CO_CURSO,0.0
PROP_QE_I23_C,0.0
PROP_QE_I23_A,0.0
TX_RESPOSTA_QE_I22,0.0
PROP_QE_I22_E,0.0
PROP_QE_I22_D,0.0
PROP_QE_I22_C,0.0
PROP_QE_I22_B,0.0
PROP_QE_I22_A,0.0
TX_RESPOSTA_QE_I21,0.0
PROP_QE_I21_B,0.0
PROP_QE_I21_A,0.0
TX_RESPOSTA_QE_I17,0.0
PROP_QE_I17_F,0.0
PROP_QE_I17_E,0.0
PROP_QE_I17_D,0.0
PROP_QE_I17_C,0.0
PROP_QE_I17_B,0.0
PROP_QE_I17_A,0.0
TX_RESPOSTA_QE_I15,0.0
PROP_QE_I15_F,0.0
PROP_QE_I15_E,0.0
PROP_QE_I15_D,0.0
PROP_QE_I23_B,0.0
PROP_QE_I23_D,0.0
PROP_QE_I15_B,0.0
PROP_QE_I23_E,0.0
TARGET_ACIMA_MEDIANA_TREINO,0.0
TX_RESPOSTA_QE_I26,0.0
PROP_QE_I26_I,0.0
PROP_QE_I26_H,0.0
PROP_QE_I26_G,0.0
PROP_QE_I26_F,0.0
PROP_QE_I26_E,0.0
PROP_QE_I26_D,0.0
PROP_QE_I26_C,0.0
PROP_QE_I26_B,0.0
PROP_QE_I26_A,0.0
TX_RESPOSTA_QE_I25,0.0
PROP_QE_I25_H,0.0
PROP_QE_I25_G,0.0
PROP_QE_I25_F,0.0
PROP_QE_I25_E,0.0
PROP_QE_I25_D,0.0
PROP_QE_I25_C,0.0
PROP_QE_I25_B,0.0
PROP_QE_I25_A,0.0
TX_RESPOSTA_QE_I23,0.0
PROP_QE_I15_C,0.0
PROP_QE_I15_A,0.0
NU_ANO,0.0
PROP_SEXO_9,0.0
PROP_TURNO_3,0.0
PROP_TURNO_2,0.0
PROP_TURNO_1,0.0
TX_ANO_IN_GRAD_INVALIDO,0.0
TX_ANO_FIM_EM_INVALIDO,0.0
ANOS_DESDE_INICIO_GRAD_MEDIANA,0.0
ANOS_DESDE_FIM_EM_MEDIANA,0.0
TX_PRESENCA_VALIDA,0.0
N_RESULTADOS_VALIDOS,0.0
NT_GER_DP_CURSO,0.0
NT_GER_MEDIANA_CURSO,0.0
NT_GER_MEDIA_CURSO,0.0
N_INSCRITOS,0.0
CO_REGIAO_CURSO,0.0
CO_UF_CURSO,0.0
CO_MUNIC_CURSO,0.0
CO_MODALIDADE,0.0
CO_GRUPO,0.0
CO_ORGACAD,0.0
CO_CATEGAD,0.0
CO_IES,0.0
PROP_TURNO_4,0.0
PROP_SEXO_F,0.0
TX_RESPOSTA_QE_I10,0.0
PROP_SEXO_M,0.0
PROP_QE_I10_E,0.0
PROP_QE_I10_D,0.0
PROP_QE_I10_C,0.0
PROP_QE_I10_B,0.0
PROP_QE_I10_A,0.0
TX_RESPOSTA_QE_I08,0.0
PROP_QE_I08_G,0.0
PROP_QE_I08_F,0.0
PROP_QE_I08_E,0.0
PROP_QE_I08_D,0.0
PROP_QE_I08_C,0.0
PROP_QE_I08_B,0.0
PROP_QE_I08_A,0.0
TX_RESPOSTA_AVALIACAO,0.0
AVALIACAO_PROCESSO_DP,0.0
AVALIACAO_PROCESSO_MEDIA,0.0
IDADE_Q75,0.0
IDADE_Q25,0.0
IDADE_DP,0.0
IDADE_MEDIANA,0.0
IDADE_MEDIA,0.0
CONJUNTO,0.0
